title,year,publisher,isbn,edition,verification_level,status,reference_url,notes
你离考研成功，就差这本书,2016,北京联合出版公司,9787550284470,初版,primary,collected,https://books.google.com/books/about/%E4%BD%A0%E7%A6%BB%E8%80%83%E7%A0%94%E6%88%90%E5%8A%9F_%E5%B0%B1%E5%B7%AE%E8%BF%99%E6%9C%AC%E4%B9%A6.html?id=IzRQswEACAAJ,首部代表性考研图书
你离考研成功，就差这本书（修订本）,2019,北京联合出版公司,9787559629425,修订本,primary,collected,https://www.dedao.cn/ebook/detail?id=VEDA2bKO27MKbRardAGJ1N4ln9BLVwgEpJkW8ZQyXmYqg5PpkEjxovze6DB84dpj,考研方向延展版本
选择比努力更重要：名师张雪峰手把手教你填报高考志愿,2021,北京联合出版公司,9787559653178,初版,primary,collected,https://books.google.com/books/about/%E5%90%8D%E5%B8%88%E5%BC%A0%E9%9B%AA%E5%B3%B0%E6%89%8B%E6%8A%8A%E6%89%8B%E6%95%99%E4%BD%A0%E5%A1%AB%E6%8A%A5%E9%AB%98.html?id=_zdwzwEACAAJ,高考志愿填报代表作
选择比努力更重要：名师张雪峰手把手教你填报高考志愿（全新修订版）,2024,北京联合出版公司,9787559653178,全新修订版,primary,collected,https://read.douban.com/ebook/474862860/,公开电子书信息页可核验
方向比努力更重要：名师张雪峰考研通关攻略,2021,北京联合出版有限公司,,电子版信息页,primary,collected,https://read.douban.com/ebook/315621097/,可通过豆瓣阅读页面核验作者与版本
决胜大学：你的大学该如何度过,2024,古吴轩出版社,,得到电子版,primary,collected,https://www.dedao.cn/ebook/detail?id=4M2bQx6x7LnGoeZQrxJvVYK5kEw1z0Vj5BwAqOdAn95BmDblgMNpPjR4y6XB8j8m,可通过得到页面核验图书信息
从就业看专业,2025,电子工业出版社,9787121506277,初版,primary,collected,https://product.dangdang.com/29874452.html,可通过当当商品页核验出版信息
